conditionId,is_structurally_dead,done_clob_48h
0x65edfe56b44785d62564cfe82499fe4680385ab600a771d9f43c0c401898357c,False,True
0x1702f182b3e4754464c2936e9a9b76db997ec660181216fc7c87700669db689f,False,True
0xb30bb792ac33351f3f26af20df8a31142b256fd43b0ea1d18dce965332018d82,False,True
0xa0ea4daae8091d788edd9a40dcf554b887da0a07747c15d3ae644c0cf2865c9a,False,True
0x8d9ecd228ba2a953bcaaaae1b7690474cf186e47ed4cc51626b3d2904d0b8cd9,False,True
0x7e811ba83a2fceda671c070fa835101cf8abaeda38e3f0cd52ad3560c5074570,False,True
0xe0658c4beed2102c181b3987edff5edd578ad2952a6eb5fa8018925e5d7a48fd,False,True
0x4aeb08df75e1fc83da8163bfa90e54ad9c164f416614000450300fabe1e9d532,False,True
0xcd267f81e59a8b85418e1d4ec0a1c91ddbb27c8d18315723def60a7904f65231,False,True
0xd85f1b6d62793f09de5af96ea2680dd765798cf6f0b6e3e13270237c0bdfa04d,False,True
0x7fafdb8e3586a4b021aea30de973a5f50bf5173fb77f8b2226520eb4521becec,False,True
0x513fd1306900bc297ec36645e1552922eeea85955fb9b41563059a1217fd9d82,False,True
0x73dce1805d042b99ea45809b3bcc2c37e89581f1416ebfa30f35b3aaa02ea84b,False,True
0x5e2c7c532bf10e7c7cbe04d5c9f319c75d8cb6080a614a0fc16225fb466d17c9,False,True
0x4444cb404701c302cf388a7d6413457332ea03e9030ce8700a29774e27bf8c45,False,True
0x72074e3d16a787b756309f02ea6c3352e9880653f4acc07ee045c3faeba67821,False,True
0x0acfe7efed9cdd52ae88d14863622a231437bc023168a1fa6ad09dc2934f9fb5,False,True
0x03553b25426b45c37b1d9f2abfe7c806c38712fda9715fad2428eb3b0de7fd20,False,True
0x90edb7da8c46cc7d02b05f96eefc59269f9fc9dc57e3a44e05a0c174916a1cc3,False,True
0x78f00f8830f71e099eba577d160153cffef6f1fa315824aa5f43249eceb0f67b,False,True
0x3893b723cde791248a4ded91b7bbdd7a8fbd5bab767b450cdf3c0b1265d7f0de,False,True
0xc4b0517ac87cabeba62b4be15b54ed2aaa53cc3628ee78fdc64caab06175184b,False,True
